Unique ID;Name;UF;arquivo_esperado;baixado
2.000.320.598;Águia de Cumaru;PE;2000320598.png;SIM
2.000.135.794;Albion (SP);SP;2000135794.png;SIM
2.000.004.148;Anchieta (RJ);RJ;2000004148.png;SIM
2.000.210.044;Anjos do Céu;CE;2000210044.png;SIM
2.000.310.120;Aster Itaquá;SP;2000310120.png;SIM
2.000.024.120;Atlético de Salvador;BA;2000024120.png;SIM
19.295.781;Atlético Parahybano;PB;19295781.png;SIM
2.000.209.180;Atlético Torres;PE;2000209180.png;SIM
2.000.318.090;Batalhão (TO);TO;2000318090.png;SIM
2.000.156.264;Bela Vista (TO);TO;2000156264.png;SIM
2.000.240.045;Belenense (PA);PA;2000240045.png;SIM
2.000.283.722;Bom Jesus (RS);RS;2000283722.png;SIM
2.000.004.150;Brasil Suburbano;RJ;2000004150.png;SIM
2.000.255.424;Campo Novo;MT;2000255424.png;SIM
2.000.281.081;Canaã (PA);PA;2000281081.png;SIM
2.000.152.145;Capitão Poço;PA;2000152145.png;SIM
2.000.004.151;Carbonífera;RJ;2000004151.png;SIM
2.000.288.716;Carmópolis;SE;2000288716.png;SIM
2.000.235.287;Ceart;MS;2000235287.png;SIM
2.000.232.734;Central Paraíso;RJ;2000232734.png;SIM
2.000.154.412;Centro Oeste;GO;2000154412.png;SIM
2.000.214.116;Comercial Tietê;SP;2000214116.png;SIM
2.000.240.525;Comercial TL;MS;2000240525.png;SIM
2.000.003.894;Corinthians de São Bernardo do Campo;SP;2000003894.png;SIM
2.000.063.304;Dínamo Araxá (MG);MG;2000063304.png;SIM
2.000.099.932;Egipciense;PE;2000099932.png;SIM
2.000.152.152;ESMAC;PA;2000152152.png;SIM
2.000.135.793;Ferroviária de Pindamonha;SP;2000135793.png;SIM
2.000.291.266;Flamengo (SE);SE;2000291266.png;SIM
2.000.003.895;Flamengo EC de Curitibanos;PR;2000003895.png;SIM
2.000.297.236;Futebol com Vida;RS;2000297236.png;SIM
2.000.192.526;Gre^mio Valparaíso;GO;2000192526.png;SIM
314.692;Guarany (PA);PA;314692.png;SIM
2.000.194.597;Inter SG;RJ;2000194597.png;SIM
2.000.193.910;Itabirito;MG;2000193910.png;SIM
2.000.210.017;Laguna (RN);RN;2000210017.png;SIM
2.000.208.897;Librade;AM;2000208897.png;SIM
2.000.099.931;Maguary (PE);PE;2000099931.png;SIM
2.000.112.366;Manauara;AM;2000112366.png;SIM
2.000.172.789;Monsoon;RS;2000172789.png;SIM
2.000.326.401;Monte Roraima;RR;2000326401.png;SIM
2.000.199.992;Náutico (MS);MS;2000199992.png;SIM
314.690;Norte Clube (PA);PA;314690.png;SIM
2.000.194.009;North (MG);MG;2000194009.png;SIM
19.005.366;Paladino (RJ);RJ;19005366.png;SIM
19.339.647;Panther (PA);PA;19339647.png;SIM
2.000.194.595;Paracatu;MG;2000194595.png;SIM
19.295.779;Parahyba;PB;19295779.png;SIM
19.295.780;Parahyba United;PB;19295780.png;SIM
19.339.645;Paranaense;PR;19339645.png;SIM
2.000.239.360;Paraty;RJ;2000239360.png;SIM
2.000.188.892;Parintins;AM;2000188892.png;SIM
2.000.307.695;Paulínia Universitário;SP;2000307695.png;SIM
2.000.170.932;Paulistano (MT);MT;2000170932.png;SIM
2.000.208.042;Pombal (PB);PB;2000208042.png;SIM
2.000.174.048;Primavera (MT);MT;2000174048.png;SIM
2.000.178.064;RB do Norte;AM;2000178064.png;SIM
2.000.203.283;Royal de Luziânia;GO;2000203283.png;SIM
2.000.209.201;Santa Fé (PE);PE;2000209201.png;SIM
2.000.062.934;Santa Quitéria (PR);PR;2000062934.png;SIM
2.000.109.059;Santa Rita (PB);PB;2000109059.png;SIM
19.339.651;Santos Dumont (MA);MA;19339651.png;SIM
2.000.154.433;São Luís (MA);MA;2000154433.png;SIM
2.000.199.920;Serra Branca;PB;2000199920.png;SIM
2.000.306.764;Sfera;SP;2000306764.png;SIM
2.000.255.286;Sharjah Brasil;SP;2000255286.png;SIM
2.000.059.899;Sírio Libanês (GO);GO;2000059899.png;SIM
2.000.174.086;Sport Bahia;BA;2000174086.png;
314.099;Theresinense FC (PI);PI;314099.png;SIM
2.000.099.933;União (PE);PE;2000099933.png;SIM
2.000.182.369;Unidos do Alvorada;AM;2000182369.png;SIM
2.000.204.861;Uruaçu;GO;2000204861.png;SIM
2.000.239.359;Vera Cruz (RJ);RJ;2000239359.png;SIM
19.152.069;Vila Matias;DF;19152069.png;SIM
2.000.192.815;Villa Real (MG);MG;2000192815.png;SIM
2.000.255.426;Zinza;RJ;2000255426.png;SIM
